bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
29705,The Book of Other People,Zadie Smith/David Mitchell/George Saunders/Colm Tóibín/Aleksandar Hemon/Nick Hornby/Hari Kunzru/Toby Litt/Chris Ware,3.38,9780143038184,eng,304,2008,Penguin Books
4329,H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,3.97,9781568821573,eng,260,2008,Chaosium
16427,Dead Man's Folly (Hercule Poirot  #33),Agatha Christie,3.79,9780007121076,eng,288,2008,HarperCollins Publishers
4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,9780747573623,eng,480,2008,Bloomsbury UK
23758,The Nightmare Years: 1930-40 (20th Century Journey  #2),William L. Shirer,4.24,9781841581224,eng,654,2008,Birlinn
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,9780060932688,eng,352,2008,Harper Perennial Modern Classics
22209,Lullaby Town (Elvis Cole  #3),Robert Crais,4.14,9780752817002,eng,296,2008,Orion
30028,Edgar A. Poe: Mournful and Never-ending Remembrance,Kenneth Silverman,4.01,9780060923310,en-US,592,2008,Harper Perennial
36048,In the Royal Manner : Expert Advice on Etiquette and Entertaining from the Former Butler to Diana  Princess of Wales,Paul Burrell,3.64,9780446526418,eng,144,2008,Warner Books
13194,Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,4.07,9781563899652,en-US,232,2008,DC Comics
20954,Winchester Shotguns,Dennis Adler/R.L. Wilson,5.0,9780785821083,eng,372,2008,Chartwell Books
9816,The View From Castle Rock,Alice Munro,3.68,9780771065262,eng,368,2008,McClelland and Stewart
30041,Elric of Melnibone: Bright Shadows,Charles  Green/Richard Ford/Pascal Quidault,4.0,9781905850587,eng,98,2008,Mongoose Publishing
33817,Spencerville,Nelson DeMille,3.67,9780751531244,eng,564,2008,Sphere
24819,The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,9780751515572,eng,208,2008,Time Warner Books UK
2826,Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,4.0,9780907129073,eng,179,2008,Roxford Books
22312,Shampoo Planet,Douglas Coupland,3.5,9780743231534,eng,282,2008,Scribner Book Company
43929,Darkest Fear (Myron Bolitar  #7),Harlan Coben,4.05,9780752849195,eng,354,2008,Dell
4887,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller/Ruth Ward,4.09,9780465016907,eng,144,2008,Basic Books
45101,The Mad Ship (Liveship Traders  #2),Robin Hobb,4.23,9780006498865,eng,906,2008,Harper Voyager
28413,The Ladies' Paradise,Émile Zola/Robin Buss/Brian  Nelson,3.99,9780192836021,eng,438,2008,Oxford University Press
8967,Trials of Death (Cirque Du Freak  #5),Darren Shan,4.25,9780316000956,eng,202,2008,Little  Brown Books for Young Readers
16794,The Facts in the Case of the Departure of Miss Finch,Neil Gaiman/Michael Zulli,3.54,9781593076672,eng,51,2008,Dark Horse Books
42668,Demon Angel (The Guardians  #1),Meljean Brook,3.53,9780425213476,eng,432,2008,Berkley Sensation
25372,Are We There Yet?,David Levithan,3.49,9780375839566,en-US,215,2008,Random House Children's Books
1052,The Richest Man in Babylon,George S. Clason,4.26,9780451205360,eng,194,2008,Berkley Books
30270,Pacto Con un Demonio,Kim Harrison,4.39,9780060898724,spa,512,2008,HarperTorch
13954,Mandie and the Jumping Juniper (Mandie  #18),Lois Gladys Leppard,3.89,9781556612008,eng,160,2008,Bethany House Publishers
37190,The Tale of Despereaux,Kate DiCamillo/Timothy Basil Ering,4.04,9780763625290,eng,267,2008,Candlewick Press
